class	subclass	subsubclass	serialid	sample1	sample2	sample3	sample4	sample5
1	1	1	374	3.0	2.0	1.0	3.0	8.0
1	1	1	38	52.0	90.0	104.0	100.0	121.0
1	1	1	-	1.0	0	1.0	1.0	0
1	1	1	385	1.0	1.0	2.0	2.0	0
1	1	1	388	1.0	0	0	2.0	0
1	1	1	398	2.0	0	0	0	0
1	1	1	40	61.0	137.0	129.0	160.0	373.0
1	1	1	401	19.0	5.0	33.0	15.0	0
1	1	1	402	1.0	1.0	1.0	0	0
1	1	1	-	10.0	11.0	4.0	8.0	20.0
1	1	1	41	71.0	50.0	101.0	55.0	42.0
1	1	1	410	2.0	3.0	7.0	2.0	0
1	1	1	411	2.0	1.0	4.0	3.0	2.0
1	1	1	412	4.0	2.0	3.0	1.0	0
1	1	1	42	171.0	200.0	299.0	307.0	220.0
1	1	1	-	65.0	89.0	124.0	151.0	208.0
1	1	1	47	5.0	13.0	16.0	6.0	0
1	1	1	-	89.0	79.0	129.0	84.0	91.0
1	1	1	53	4.0	4.0	5.0	10.0	0
1	1	1	60	9.0	7.0	21.0	15.0	19.0
1	1	1	-	2.0	1.0	0	0	0
1	1	1	-	6.0	5.0	39.0	2.0	0
1	1	1	65	12.0	9.0	8.0	9.0	0
1	1	1	67	1.0	0	0	1.0	0
1	1	1	69	11.0	12.0	23.0	27.0	87.0
1	1	1	-	2.0	0	0	0	0
1	1	1	-	3.0	2.0	0	4.0	6.0
1	1	1	-	4.0	3.0	5.0	1.0	5.0
1	1	1	85	47.0	77.0	104.0	80.0	111.0
1	1	1	86	127.0	145.0	239.0	193.0	322.0
1	1	1	87	1.0	1.0	3.0	0	12.0
1	1	1	88	2.0	3.0	23.0	5.0	2.0
1	1	1	9	6.0	4.0	0	2.0	1.0
-	-	-	-	5.0	14.0	27.0	18.0	34.0
1	1	1	94	26.0	21.0	32.0	40.0	80.0
1	1	1	-	87.0	111.0	164.0	156.0	418.0
1	1	2	3	23.0	2.0	62.0	14.0	27.0
1	1	2	4	29.0	19.0	45.0	18.0	5.0
1	1	2	6	39.0	30.0	39.0	47.0	0
1	1	2	7	9.0	7.0	1.0	6.0	0
1	1	2	8	111.0	141.0	144.0	132.0	0
1	1	3	-	11.0	6.0	17.0	12.0	4.0
1	1	3	15	57.0	56.0	86.0	103.0	60.0
1	1	3	21	3.0	0	0	0	0
1	1	3	46	22.0	11.0	18.0	19.0	6.0
1	1	3	-	2.0	4.0	1.0	5.0	0
1	1	3	6	5.0	11.0	30.0	24.0	11.0
1	1	3	8	3.0	0	4.0	0	0
1	1	3	9	2.0	3.0	0	0	1.0
1	1	5	-	41.0	28.0	43.0	44.0	1.0
1	1	5	12	1.0	0	6.0	0	0
1	1	5	2	190.0	146.0	195.0	270.0	0
1	1	5	3	39.0	55.0	40.0	54.0	45.0
1	1	5	8	21.0	1.0	16.0	0	0
1	1	5	9	9.0	0	1.0	0	0
1	1	9	1	32.0	58.0	47.0	61.0	1.0
1	1	98	2	5.0	11.0	10.0	6.0	0
1	1	98	6	15.0	43.0	49.0	52.0	122.0
1	1	99	1	35.0	31.0	45.0	30.0	3.0
1	1	99	24	2.0	1.0	1.0	3.0	0
1	1	99	28	1.0	0	6.0	0	0
1	1	99	3	75.0	31.0	110.0	61.0	27.0
1	1	99	31	5.0	1.0	9.0	5.0	0
1	10	2	-	5.0	1.0	1.0	6.0	0
1	10	2	2	13.0	14.0	44.0	26.0	40.0
1	10	3	-	3.0	8.0	14.0	29.0	10.0
1	10	3	10	3.0	10.0	1.0	2.0	0
1	10	3	14	23.0	31.0	98.0	78.0	163.0
1	10	3	9	2.0	1.0	7.0	3.0	0
1	10	9	1	41.0	77.0	40.0	67.0	4.0
1	11	1	10	36.0	32.0	49.0	47.0	263.0
1	11	1	15	341.0	359.0	732.0	478.0	399.0
1	11	1	21	93.0	71.0	79.0	81.0	0
1	11	1	5	41.0	61.0	56.0	94.0	37.0
1	11	1	6	115.0	128.0	200.0	124.0	265.0
1	11	1	7	3.0	3.0	12.0	2.0	0
1	11	1	9	95.0	87.0	177.0	107.0	54.0
1	12	1	2	9.0	24.0	25.0	51.0	239.0
1	12	1	3	5.0	15.0	16.0	93.0	738.0
1	12	2	1	1.0	0	1.0	3.0	20.0
1	12	98	1	7.0	13.0	15.0	11.0	7.0
1	12	99	6	71.0	120.0	52.0	114.0	52.0
1	13	11	-	18.0	18.0	11.0	27.0	23.0
1	13	11	-	8.0	0	2.0	0	0
1	13	11	11	18.0	9.0	28.0	35.0	0
1	13	11	2	23.0	24.0	37.0	15.0	6.0
1	13	11	24	1.0	0	1.0	0	0
1	13	11	27	96.0	133.0	114.0	115.0	10.0
1	13	11	3	18.0	25.0	25.0	23.0	0
1	13	11	34	1.0	0	4.0	0	0
1	13	11	37	3.0	4.0	7.0	0	0
1	13	11	38	4.0	1.0	0	0	0
1	13	11	4	20.0	26.0	30.0	19.0	0
1	13	11	49	1.0	0	0	0	0
1	13	11	5	59.0	59.0	53.0	45.0	2.0
1	13	11	52	5.0	3.0	5.0	3.0	0
1	13	11	-	1.0	7.0	13.0	7.0	0
1	13	11	57	2.0	1.0	1.0	3.0	0
1	13	11	6	8.0	9.0	4.0	12.0	0
1	13	11	-	1.0	3.0	0	0	0
1	13	11	75	5.0	0	3.0	0	0
1	13	11	8	12.0	18.0	16.0	23.0	5.0
1	13	12	16	24.0	25.0	25.0	31.0	21.0
1	13	99	1	10.0	16.0	36.0	16.0	0
1	14	-	-	35.0	33.0	69.0	43.0	28.0
1	14	11	-	26.0	14.0	35.0	13.0	0
1	14	11	1	1.0	3.0	1.0	1.0	0
1	14	11	17	51.0	42.0	47.0	70.0	0
1	14	11	18	10.0	2.0	1.0	4.0	0
1	14	11	2	1.0	5.0	1.0	0	0
1	14	11	30	1.0	0	0	0	0
1	14	11	33	4.0	1.0	1.0	0	0
1	14	11	35	1.0	0	0	0	0
1	14	11	46	5.0	1.0	2.0	1.0	0
1	14	11	55	7.0	0	2.0	4.0	0
1	14	12	-	3.0	1.0	0	0	0
1	14	12	1	9.0	8.0	7.0	3.0	0
1	14	12	-	2.0	10.0	4.0	4.0	0
1	14	12	17	1.0	21.0	6.0	2.0	4.0
1	14	12	18	2.0	1.0	0	0	0
1	14	12	19	10.0	10.0	13.0	4.0	0
1	14	12	25	1.0	1.0	6.0	4.0	0
1	14	12	7	3.0	0	1.0	5.0	0
1	14	13	-	16.0	16.0	38.0	7.0	13.0
1	14	13	107	46.0	16.0	17.0	14.0	0
1	14	13	111	3.0	4.0	7.0	4.0	0
1	14	13	127	5.0	4.0	8.0	5.0	0
1	14	13	141	3.0	3.0	4.0	2.0	0
1	14	13	142	2.0	1.0	1.0	0	3.0
1	14	13	149	33.0	251.0	65.0	60.0	3.0
1	14	13	163	1.0	0	0	0	0
1	14	13	2	2.0	16.0	8.0	8.0	2.0
1	14	13	20	2.0	0	0	0	0
1	14	13	208	18.0	38.0	25.0	32.0	0
1	14	13	22	3.0	5.0	7.0	5.0	0
1	14	13	227	51.0	36.0	52.0	28.0	0
1	14	-	-	4.0	6.0	6.0	11.0	0
1	14	13	230	3.0	0	0	0	0
1	14	13	235	5.0	4.0	8.0	5.0	0
1	14	13	-	6.0	1.0	1.0	9.0	13.0
1	14	13	24	1.0	3.0	0	0	0
1	14	13	40	8.0	8.0	12.0	17.0	0
1	14	13	59	1.0	1.0	0	0	0
1	14	13	69	2.0	4.0	3.0	2.0	0
1	14	13	70	1.0	4.0	17.0	2.0	0
1	14	13	82	2.0	3.0	3.0	0	2.0
1	14	13	84	1.0	3.0	12.0	7.0	0
1	14	14	12	4.0	4.0	2.0	3.0	0
1	-	-	-	1.0	0	7.0	0	2.0
1	14	14	30	1.0	0	0	0	0
1	14	14	35	8.0	2.0	8.0	14.0	0
1	14	14	5	9.0	3.0	5.0	11.0	0
1	14	14	9	28.0	26.0	22.0	21.0	24.0
1	14	15	14	3.0	2.0	3.0	12.0	0
1	14	15	20	1.0	0	0	0	0
1	14	15	3	2.0	0	3.0	3.0	0
1	14	15	7	11.0	20.0	18.0	7.0	1.0
1	14	16	1	9.0	25.0	6.0	25.0	3.0
1	14	17	3	1.0	0	0	2.0	0
1	14	18	1	20.0	14.0	36.0	35.0	0
1	14	-	-	80.0	39.0	114.0	51.0	0
1	14	19	1	133.0	202.0	261.0	362.0	20.0
1	14	-	-	2.0	6.0	19.0	23.0	1.0
1	14	19	20	2.0	0	2.0	0	0
1	14	19	-	43.0	31.0	72.0	26.0	1.0
1	14	19	-	31.0	46.0	63.0	52.0	2.0
1	14	19	3	29.0	43.0	63.0	60.0	0
1	14	19	41	1.0	3.0	2.0	0	0
1	14	19	-	2.0	1.0	0	0	0
1	14	19	9	1.0	0	1.0	4.0	0
1	14	99	-	1.0	2.0	3.0	3.0	0
1	14	99	1	1.0	1.0	1.0	0	0
1	14	99	29	3.0	30.0	9.0	1.0	0
1	14	99	50	11.0	14.0	21.0	15.0	1.0
1	14	99	57	4.0	9.0	3.0	1.0	0
1	15	1	1	815.0	768.0	1666.0	981.0	1017.0
1	16	1	1	3.0	5.0	7.0	7.0	7.0
1	16	3	1	282.0	267.0	311.0	466.0	817.0
1	16	3	2	29.0	42.0	97.0	69.0	148.0
1	16	3	3	57.0	168.0	55.0	93.0	23.0
1	17	1	1	26.0	18.0	51.0	37.0	73.0
1	17	1	10	7.0	13.0	9.0	28.0	28.0
1	17	1	4	170.0	147.0	213.0	222.0	24.0
1	17	-	-	3.0	11.0	10.0	9.0	0
1	17	1	5	20.0	9.0	15.0	6.0	2.0
1	17	1	8	32.0	34.0	45.0	52.0	103.0
1	17	1	9	398.0	301.0	542.0	383.0	182.0
1	17	2	1	39.0	32.0	63.0	43.0	0
1	17	4	1	848.0	705.0	1325.0	1120.0	764.0
1	17	4	2	2.0	0	0	0	14.0
-	-	-	-	11.0	8.0	8.0	13.0	0
1	17	5	2	1.0	0	0	0	0
1	17	7	-	102.0	77.0	99.0	123.0	145.0
1	17	7	4	143.0	87.0	121.0	146.0	177.0
1	17	8	1	1.0	0	1.0	0	0
1	-	-	-	6.0	0	0	4.0	14.0
1	17	99	1	8.0	7.0	11.0	9.0	0
1	17	99	6	8.0	21.0	25.0	23.0	34.0
1	17	99	7	3.0	0	0	0	0
1	18	1	-	5.0	2.0	15.0	5.0	0
1	-	-	-	44.0	59.0	59.0	73.0	56.0
1	18	1	3	9.0	7.0	5.0	6.0	2.0
1	18	6	1	1.0	1.0	9.0	2.0	0
1	2	1	-	165.0	614.0	280.0	571.0	114.0
1	2	1	10	10.0	14.0	12.0	29.0	9.0
1	-	-	-	2.0	18.0	15.0	11.0	107.0
1	2	1	11	98.0	71.0	118.0	153.0	150.0
1	2	1	12	201.0	236.0	416.0	333.0	717.0
1	2	1	-	102.0	104.0	118.0	94.0	62.0
1	2	1	-	97.0	89.0	178.0	113.0	65.0
1	2	1	19	14.0	13.0	11.0	4.0	1.0
1	2	1	22	2.0	0	0	0	0
1	2	1	-	1.0	13.0	2.0	4.0	1.0
1	2	1	26	4.0	4.0	5.0	4.0	7.0
1	2	1	28	5.0	1.0	6.0	6.0	0
1	2	1	3	118.0	112.0	188.0	151.0	36.0
1	2	1	-	2.0	0	0	0	6.0
1	2	1	-	8.0	11.0	12.0	4.0	7.0
1	2	1	38	52.0	35.0	50.0	42.0	54.0
1	2	1	39	34.0	23.0	29.0	35.0	2.0
1	2	1	41	35.0	35.0	77.0	35.0	57.0
1	2	1	46	71.0	34.0	51.0	37.0	4.0
1	2	1	5	3.0	1.0	11.0	9.0	0
1	2	1	59	14.0	13.0	25.0	9.0	9.0
1	2	1	67	1.0	1.0	1.0	3.0	0
1	2	1	68	1.0	2.0	4.0	8.0	16.0
1	2	1	70	56.0	43.0	52.0	100.0	71.0
1	2	1	71	1.0	1.0	7.0	0	0
1	2	1	8	129.0	43.0	208.0	35.0	7.0
1	2	1	81	5.0	1.0	6.0	8.0	12.0
1	2	1	88	89.0	84.0	138.0	136.0	73.0
1	2	1	9	5.0	1.0	15.0	4.0	5.0
1	2	1	98	1.0	0	0	0	0
1	2	1	99	1.0	1.0	4.0	7.0	1.0
1	2	3	3	6.0	0	3.0	4.0	2.0
1	2	4	1	263.0	320.0	557.0	339.0	171.0
1	2	4	2	130.0	195.0	266.0	216.0	184.0
1	2	4	4	99.0	133.0	195.0	219.0	187.0
1	2	5	1	13.0	6.0	18.0	45.0	160.0
1	2	5	3	624.0	432.0	764.0	610.0	68.0
1	2	7	1	188.0	132.0	167.0	176.0	339.0
1	2	7	10	19.0	7.0	30.0	33.0	25.0
1	2	7	12	11.0	26.0	23.0	32.0	28.0
1	2	7	-	110.0	355.0	152.0	499.0	555.0
1	2	7	3	1.0	26.0	5.0	39.0	110.0
1	2	7	-	509.0	557.0	766.0	777.0	589.0
1	2	7	4	11.0	25.0	35.0	26.0	118.0
1	2	7	5	91.0	131.0	208.0	181.0	313.0
1	2	7	7	1.0	12.0	2.0	15.0	2.0
1	2	7	8	58.0	135.0	76.0	68.0	162.0
1	-	-	-	7.0	1.0	17.0	14.0	8.0
1	2	99	10	19.0	17.0	4.0	22.0	0
1	2	99	8	1.0	1.0	0	1.0	3.0
1	20	-	-	1.0	3.0	1.0	5.0	2.0
1	20	4	1	23.0	41.0	31.0	39.0	61.0
1	20	4	3	4.0	0	3.0	2.0	0
1	21	4	1	1.0	1.0	1.0	6.0	2.0
1	21	4	2	12.0	5.0	6.0	5.0	6.0
1	21	4	-	4.0	1.0	10.0	3.0	0
1	21	98	1	70.0	71.0	91.0	65.0	33.0
1	21	98	3	4.0	11.0	9.0	7.0	16.0
1	3	1	-	4.0	11.0	8.0	7.0	0
1	3	1	1	26.0	40.0	37.0	49.0	28.0
1	3	-	-	3.0	1.0	8.0	3.0	0
1	3	1	108	1.0	0	0	0	0
1	3	1	12	10.0	10.0	18.0	16.0	31.0
1	3	1	14	18.0	13.0	16.0	17.0	61.0
1	3	1	2	5.0	1.0	4.0	14.0	0
1	3	1	22	1.0	3.0	9.0	0	12.0
1	3	1	-	1.0	6.0	0	0	0
1	3	1	28	3.0	2.0	0	0	0
1	3	1	3	3.0	0	0	0	0
1	3	1	32	1.0	0	2.0	0	0
1	3	1	34	16.0	7.0	15.0	20.0	26.0
1	3	1	-	1.0	0	0	1.0	0
1	3	1	45	10.0	7.0	13.0	11.0	0
1	3	1	-	1.0	0	0	0	2.0
1	3	1	64	1.0	1.0	0	2.0	0
1	3	1	-	2.0	0	4.0	0	0
1	3	1	74	1.0	3.0	2.0	6.0	1.0
-	-	-	-	13.0	3.0	14.0	12.0	8.0
1	3	1	85	27.0	25.0	6.0	5.0	0
1	3	1	86	5.0	1.0	7.0	3.0	0
1	3	1	88	1.0	2.0	11.0	0	0
1	3	1	9	13.0	10.0	6.0	22.0	7.0
1	3	1	98	24.0	25.0	38.0	51.0	32.0
1	3	1	-	55.0	59.0	83.0	76.0	88.0
1	3	3	11	29.0	16.0	36.0	29.0	2.0
1	3	3	3	5.0	8.0	18.0	10.0	16.0
1	3	3	-	15.0	5.0	24.0	14.0	17.0
1	3	3	6	4.0	4.0	47.0	6.0	0
1	3	4	1	3.0	0	2.0	4.0	0
1	3	5	1	2.0	5.0	42.0	8.0	11.0
1	3	5	-	291.0	398.0	470.0	516.0	392.0
1	3	5	2	19.0	7.0	15.0	17.0	11.0
1	3	5	3	4.0	22.0	6.0	23.0	14.0
1	3	5	4	33.0	45.0	58.0	71.0	18.0
1	3	5	6	5.0	0	0	0	0
1	3	7	1	1.0	3.0	4.0	5.0	0
1	3	7	8	36.0	60.0	37.0	51.0	13.0
1	3	7	9	17.0	7.0	13.0	16.0	0
1	3	8	-	10.0	18.0	15.0	13.0	20.0
1	3	8	1	15.0	30.0	30.0	66.0	28.0
1	3	8	12	1.0	6.0	2.0	7.0	0
1	3	8	3	5.0	2.0	3.0	0	0
1	3	8	4	15.0	43.0	21.0	11.0	14.0
1	3	8	6	56.0	47.0	79.0	61.0	15.0
1	3	8	7	99.0	174.0	136.0	86.0	42.0
1	3	98	1	26.0	134.0	48.0	125.0	240.0
1	3	99	-	56.0	44.0	52.0	46.0	4.0
1	3	99	12	1.0	2.0	12.0	7.0	9.0
1	3	99	16	296.0	201.0	407.0	374.0	60.0
1	3	99	23	5.0	0	4.0	9.0	3.0
1	3	99	30	4.0	0	0	0	0
1	3	99	32	11.0	16.0	18.0	19.0	16.0
1	3	99	38	7.0	13.0	20.0	8.0	3.0
1	3	99	4	3.0	0	2.0	0	0
1	3	99	8	9.0	3.0	16.0	5.0	1.0
1	4	1	1	68.0	58.0	103.0	109.0	139.0
1	4	1	-	9.0	17.0	14.0	9.0	2.0
1	4	1	-	253.0	241.0	408.0	328.0	358.0
1	4	1	18	13.0	3.0	22.0	18.0	0
1	4	1	2	42.0	78.0	126.0	41.0	70.0
1	4	1	21	3.0	4.0	5.0	1.0	0
1	4	1	23	1.0	0	2.0	0	0
1	4	1	24	1.0	1.0	3.0	0	13.0
1	4	1	3	112.0	139.0	217.0	249.0	155.0
1	4	1	4	13.0	45.0	44.0	184.0	537.0
1	4	1	9	11.0	18.0	17.0	29.0	6.0
1	4	3	16	33.0	46.0	45.0	62.0	151.0
1	4	3	19	7.0	3.0	3.0	12.0	1.0
1	4	3	21	13.0	3.0	46.0	15.0	0
1	4	3	4	35.0	21.0	37.0	15.0	3.0
1	4	3	5	26.0	39.0	58.0	51.0	25.0
1	4	4	2	135.0	171.0	320.0	209.0	323.0
1	4	5	1	12.0	17.0	17.0	3.0	0
1	4	7	1	97.0	84.0	92.0	83.0	70.0
1	4	9	1	6.0	2.0	2.0	14.0	0
1	5	-	-	17.0	15.0	36.0	34.0	39.0
1	5	1	10	2.0	2.0	7.0	1.0	21.0
1	5	1	2	19.0	29.0	27.0	27.0	93.0
1	5	1	20	72.0	68.0	133.0	76.0	156.0
1	5	1	28	1.0	3.0	1.0	0	8.0
1	5	1	33	8.0	7.0	12.0	6.0	1.0
1	5	1	38	2.0	0	0	2.0	20.0
1	5	1	40	40.0	29.0	58.0	38.0	10.0
-	-	-	-	35.0	33.0	58.0	40.0	75.0
-	-	-	-	10.0	8.0	31.0	9.0	23.0
1	5	1	7	7.0	12.0	4.0	18.0	119.0
1	5	1	-	1.0	0	3.0	2.0	1.0
1	5	3	1	32.0	26.0	44.0	37.0	10.0
1	5	3	19	22.0	7.0	20.0	9.0	0
1	5	5	-	5.0	17.0	16.0	14.0	3.0
1	5	5	1	42.0	57.0	43.0	65.0	95.0
1	-	-	-	9.0	12.0	32.0	16.0	10.0
1	5	8	-	16.0	13.0	3.0	10.0	0
1	5	8	4	9.0	9.0	13.0	10.0	3.0
1	5	98	2	8.0	2.0	11.0	1.0	7.0
1	5	98	3	1.0	2.0	5.0	3.0	0
1	5	99	-	8.0	3.0	1.0	3.0	0
1	5	99	14	5.0	0	1.0	0	0
1	5	99	6	9.0	0	4.0	7.0	0
1	6	1	1	25.0	15.0	19.0	26.0	3.0
1	6	1	2	128.0	147.0	190.0	189.0	134.0
1	6	2	2	9.0	5.0	11.0	1.0	0
1	6	3	3	1.0	0	2.0	2.0	9.0
1	6	3	4	1.0	0	3.0	12.0	23.0
1	6	4	-	2.0	3.0	7.0	4.0	3.0
1	6	5	2	9.0	8.0	32.0	68.0	63.0
1	6	5	3	1033.0	1426.0	2238.0	1962.0	1716.0
1	6	-	-	26.0	40.0	166.0	29.0	12.0
1	6	5	5	60.0	47.0	112.0	79.0	27.0
1	6	5	8	3.0	2.0	20.0	8.0	12.0
1	6	99	3	34.0	47.0	76.0	47.0	51.0
1	7	-	-	6.0	7.0	6.0	4.0	3.0
1	7	1	13	21.0	19.0	31.0	43.0	30.0
1	7	1	14	1.0	0	0	0	0
1	7	1	15	41.0	9.0	32.0	24.0	22.0
1	7	1	6	1.0	0	0	0	0
1	7	1	7	5.0	5.0	22.0	16.0	8.0
1	7	2	1	60.0	220.0	89.0	108.0	9.0
1	7	-	-	3.0	27.0	0	1.0	6.0
1	7	2	2	2.0	1.0	1.0	5.0	7.0
1	7	2	3	16.0	13.0	24.0	17.0	97.0
1	7	2	4	22.0	154.0	39.0	139.0	61.0
1	7	2	5	33.0	228.0	37.0	47.0	41.0
1	7	2	6	29.0	40.0	20.0	67.0	0
1	7	3	3	7.0	8.0	20.0	4.0	5.0
1	7	-	-	227.0	556.0	142.0	347.0	169.0
1	7	7	1	15.0	0	10.0	5.0	9.0
1	7	7	2	2.0	0	1.0	2.0	0
1	7	99	-	27.0	16.0	23.0	23.0	4.0
1	7	99	1	15.0	66.0	126.0	48.0	135.0
1	8	-	-	71.0	46.0	46.0	47.0	7.0
1	8	1	15	2.0	0	0	2.0	0
1	8	1	2	58.0	64.0	76.0	81.0	10.0
1	8	1	4	171.0	163.0	377.0	271.0	275.0
1	8	1	7	12.0	11.0	41.0	13.0	6.0
1	8	1	8	20.0	37.0	43.0	65.0	128.0
1	8	1	9	169.0	151.0	243.0	213.0	187.0
1	8	2	1	1.0	0	0	0	0
1	8	2	2	14.0	5.0	9.0	6.0	4.0
1	8	2	3	3.0	0	2.0	0	0
1	8	4	-	31.0	27.0	52.0	43.0	13.0
1	8	4	11	135.0	89.0	178.0	125.0	26.0
1	8	4	-	12.0	11.0	20.0	8.0	20.0
1	8	4	12	94.0	62.0	95.0	58.0	16.0
1	8	4	14	14.0	4.0	8.0	8.0	28.0
1	8	4	-	43.0	42.0	74.0	55.0	32.0
1	8	5	2	8.0	71.0	35.0	107.0	22.0
1	8	5	3	5.0	4.0	6.0	11.0	17.0
1	8	5	4	48.0	92.0	79.0	109.0	65.0
1	8	5	5	1.0	3.0	4.0	10.0	10.0
1	8	5	6	8.0	4.0	13.0	9.0	7.0
1	8	5	7	9.0	7.0	46.0	10.0	0
1	8	7	1	32.0	26.0	38.0	23.0	3.0
1	8	-	-	27.0	23.0	42.0	128.0	301.0
1	8	99	2	24.0	39.0	70.0	104.0	44.0
1	8	99	5	13.0	16.0	73.0	102.0	52.0
1	9	3	1	777.0	1019.0	1593.0	860.0	271.0
1	97	1	4	56.0	71.0	60.0	71.0	233.0
1	97	1	9	3.0	8.0	8.0	13.0	5.0
2	-	-	-	24.0	16.0	32.0	18.0	49.0
2	1	1	-	98.0	114.0	200.0	139.0	153.0
2	-	-	-	7.0	6.0	3.0	17.0	0
2	1	1	10	8.0	1.0	0	0	0
2	1	1	104	1.0	3.0	4.0	3.0	0
2	1	1	107	9.0	5.0	13.0	14.0	7.0
-	-	-	-	3.0	1.0	6.0	8.0	0
-	-	-	-	12.0	24.0	27.0	22.0	13.0
2	1	1	11	1.0	4.0	3.0	1.0	0
2	1	1	113	94.0	56.0	108.0	65.0	63.0
2	1	1	13	140.0	186.0	265.0	206.0	260.0
2	1	1	131	2.0	1.0	2.0	0	2.0
2	1	1	-	3.0	1.0	1.0	2.0	2.0
2	1	1	137	52.0	53.0	66.0	63.0	95.0
2	1	1	14	143.0	102.0	224.0	141.0	31.0
2	1	1	144	7.0	4.0	4.0	5.0	1.0
2	1	1	148	16.0	23.0	28.0	38.0	19.0
2	1	1	-	50.0	35.0	62.0	53.0	51.0
2	1	1	166	8.0	21.0	32.0	11.0	11.0
2	1	1	170	8.0	14.0	22.0	24.0	30.0
2	1	1	171	7.0	0	0	6.0	1.0
2	1	1	-	1.0	0	3.0	0	0
2	1	1	176	23.0	16.0	30.0	25.0	22.0
2	1	1	177	9.0	17.0	33.0	25.0	42.0
2	1	1	-	33.0	18.0	26.0	18.0	4.0
2	1	1	181	1.0	3.0	3.0	4.0	32.0
2	1	1	182	10.0	11.0	20.0	30.0	42.0
2	1	1	185	6.0	14.0	18.0	31.0	55.0
2	1	1	186	1.0	0	1.0	0	0
2	1	1	190	20.0	26.0	67.0	38.0	63.0
2	1	1	191	23.0	19.0	59.0	44.0	68.0
2	1	1	192	60.0	59.0	103.0	54.0	101.0
2	1	1	193	9.0	9.0	11.0	16.0	26.0
2	1	1	195	1.0	0	2.0	0	2.0
2	1	1	197	6.0	1.0	6.0	3.0	2.0
2	1	1	198	26.0	35.0	51.0	58.0	85.0
2	1	1	199	565.0	457.0	920.0	758.0	2299.0
2	1	1	207	1.0	5.0	10.0	1.0	12.0
2	1	1	208	2.0	0	0	0	1.0
2	1	1	21	23.0	36.0	32.0	29.0	1.0
2	1	1	-	7.0	10.0	15.0	9.0	12.0
2	1	1	22	1.0	0	3.0	0	0
2	1	1	-	9.0	32.0	31.0	18.0	36.0
2	1	1	-	8.0	10.0	4.0	14.0	14.0
2	1	1	228	83.0	80.0	165.0	105.0	109.0
2	1	1	245	9.0	21.0	14.0	27.0	154.0
2	1	1	246	3.0	1.0	3.0	4.0	6.0
